,last_review_year_date,neighbourhood,neighbourhood_group,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
67,2015-01-01,Lane Cove,,107.75,94.5,1.75,0.045,1.0,91.0
68,2016-01-01,Lane Cove,,192.35294117647058,9.352941176470589,4.0588235294117645,0.10352941176470588,1.7058823529411764,103.88235294117646
69,2017-01-01,Lane Cove,,288.9310344827586,3.4482758620689653,7.586206896551724,0.23448275862068965,7.931034482758621,92.96551724137932
70,2018-01-01,Lane Cove,,217.75384615384615,2.876923076923077,24.43846153846154,1.385076923076923,4.269230769230769,128.2076923076923
71,2014-01-01,Leichhardt,,316.0,3.2,1.6,0.03,36.6,200.2
72,2015-01-01,Leichhardt,,179.2,4.15,2.9,0.058499999999999996,1.25,60.4
73,2016-01-01,Leichhardt,,236.015625,7.71875,3.609375,0.10015625,1.15625,32.609375
74,2017-01-01,Leichhardt,,235.4757281553398,5.436893203883495,8.436893203883495,0.2551456310679612,9.893203883495145,76.71844660194175
75,2018-01-01,Leichhardt,,191.548623853211,3.677064220183486,25.888073394495414,1.3043302752293577,8.315596330275229,120.93394495412844
76,2016-01-01,Liverpool,,55.0,1.0,1.0,0.04,2.0,364.0
77,2017-01-01,Liverpool,,117.27272727272727,2.090909090909091,3.4545454545454546,0.16,11.636363636363637,248.0909090909091
78,2018-01-01,Liverpool,,135.2469135802469,2.4074074074074074,14.641975308641975,1.2245679012345678,15.604938271604938,221.11111111111111
79,2014-01-01,Manly,,1069.0,3.0,1.0,0.02,1.0,182.5
80,2015-01-01,Manly,,315.05882352941177,4.882352941176471,2.264705882352941,0.04794117647058824,1.1470588235294117,36.14705882352941
81,2016-01-01,Manly,,237.32380952380953,11.161904761904761,2.8857142857142857,0.07609523809523809,1.2952380952380953,38.08571428571429
82,2017-01-01,Manly,,269.7837837837838,7.778378378378378,5.227027027027027,0.1652972972972973,4.859459459459459,56.30810810810811
83,2018-01-01,Manly,,228.95990566037736,3.714622641509434,16.942216981132077,0.9876533018867925,8.142688679245284,110.27712264150944
84,2012-01-01,Marrickville,,46.0,14.0,2.0,0.03,1.0,0.0
85,2013-01-01,Marrickville,,199.0,7.0,1.0,0.01,1.0,0.0
86,2014-01-01,Marrickville,,210.0,7.0,6.0,0.08,1.0,11.0
87,2015-01-01,Marrickville,,114.13513513513513,3.027027027027027,3.27027027027027,0.05837837837837838,1.2702702702702702,19.54054054054054
88,2016-01-01,Marrickville,,111.3,4.485714285714286,4.4,0.10528571428571429,1.1571428571428573,38.32857142857143
